Store ID,Product ID,Current_Inventory,Forecast_7D,Forecast_14D,Avg_Daily_Forecast,Days_of_Cover,Demand_Mean,Demand_Std,Lead_Time_Demand,Safety_Stock,Target_Stock,Min_Projected_Inventory,Stockout Risk,Risk Level,Recommended_Order_Qty
S001,P0001,223,798.1248832941254,1596.2497665882508,114.01784047058935,1.9558342718964439,137.3064295485636,108.18785893813579,342.05352141176803,309.18833293086067,651.2418543426287,-1373.2497665882508,HIGH,HIGH,429
S001,P0002,217,1139.0549787631487,2278.109957526297,162.72213982330692,1.3335616175870788,131.03830369357044,104.31321989990398,488.1664194699208,298.1150646667686,786.2814841366894,-2061.109957526297,HIGH,HIGH,570
S001,P0003,69,1276.3936650905405,2552.787330181081,182.3419521557915,0.3784099006521931,141.4404924760602,107.21122514209723,547.0258564673745,306.39722699490005,853.4230834622746,-2483.787330181081,HIGH,HIGH,785
S001,P0004,338,973.4222783992179,1949.3118373909335,139.2365598136381,2.4275233491289776,140.90424076607388,113.6441170415594,417.1809764568077,324.7816847505202,741.9626612073279,-1611.3118373909335,HIGH,HIGH,404
S001,P0005,471,1612.1753546632267,3224.3507093264543,230.31076495188958,2.0450628962063013,133.1299589603283,107.36887290250596,690.9322948556687,306.8477659806002,997.7800608362688,-2753.3507093264543,HIGH,HIGH,527
S001,P0006,305,624.8395015573456,1249.6790031146913,89.26278593676366,3.416877445614019,130.6730506155951,109.01526133639567,267.788357810291,311.5529528678099,579.3413106781009,-944.6790031146913,HIGH,MEDIUM,275
S001,P0007,256,597.8564299646819,1195.712859929364,85.408061423526,2.9973751392217385,137.8235294117647,111.19889766930544,256.224184270578,317.79353183966754,574.0177161102456,-939.712859929364,HIGH,HIGH,319
S001,P0008,315,901.7433150862186,1803.4866301724371,128.8204735837455,2.445263483643539,137.1326949384405,108.69904492649799,386.46142075123646,310.64924310239576,697.1106638536322,-1488.4866301724371,HIGH,HIGH,383
S001,P0009,167,1455.3680410473792,2910.7360820947583,207.9097201496256,0.8032332489304288,131.43638850889192,107.08680253328265,623.7291604488767,306.0416416327728,929.7708020816494,-2743.7360820947583,HIGH,HIGH,763
S001,P0010,167,429.74284412997554,859.4856882599508,61.39183487571078,2.7202314499655444,132.3611491108071,105.91637083958466,184.17550462713234,302.696683818321,486.87218844545333,-692.4856882599508,HIGH,HIGH,320
S001,P0011,449,1438.4623328219968,2876.924665643994,205.494618974571,2.1849720554267247,132.4924760601915,109.90265124887547,616.4838569237128,314.08901015179947,930.5728670755122,-2427.924665643994,HIGH,HIGH,482
S001,P0012,213,1792.2104581538915,3584.4209163077826,256.0300654505559,0.8319335450903682,128.39124487004105,102.24027638373987,768.0901963516679,292.190832906261,1060.2810292579288,-3371.4209163077826,HIGH,HIGH,848
S001,P0013,356,520.3704157818613,1040.7408315637226,74.33863082598019,4.788896379237369,132.87414500683994,109.16111268388767,223.01589247794053,311.969779075754,534.9856715536945,-684.7408315637226,HIGH,MEDIUM,179
S001,P0014,293,852.7483940544006,1707.9640687012989,121.9974334786642,2.4016898687564763,136.62106703146375,110.66719227478023,365.4635974518859,316.27397958900696,681.7375770408928,-1414.9640687012989,HIGH,HIGH,389
S001,P0015,356,1119.61289483331,2239.22578966662,159.94469926190143,2.225769291779203,137.88645690834474,112.80404622056196,479.83409778570433,322.3808599330461,802.2149577187504,-1883.2257896666201,HIGH,HIGH,447
S001,P0016,74,1501.4721120282102,3002.9442240564204,214.49601600403003,0.34499475271657104,132.9329685362517,107.53893029050003,643.4880480120901,307.3337702403437,950.8218182524338,-2928.9442240564204,HIGH,HIGH,877
S001,P0017,282,606.9687247327983,1216.4047300580937,86.8860521470067,3.245630259766788,136.44870041039673,108.96537609105432,260.12945345691355,311.41038663166916,571.5398400885827,-934.4047300580937,HIGH,MEDIUM,290
S001,P0018,191,1424.3234322618189,2851.1141451161357,203.65101036543825,0.9378789707807643,138.81668946648426,109.09711293085292,610.4243281122081,311.7868752162727,922.2112033284807,-2660.1141451161357,HIGH,HIGH,732
S001,P0019,149,1249.038934227217,2498.0778684544334,178.43413346103097,0.8350420242466713,134.73050615595076,109.54662427486042,535.302400383093,313.071526418832,848.3739268019249,-2349.0778684544334,HIGH,HIGH,700
S001,P0020,242,799.0943097021235,1598.1886194042465,114.15632995744618,2.119899966039639,138.3638850889193,111.24549679398355,342.4689898723386,317.9267067246932,660.3956965970318,-1356.1886194042465,HIGH,HIGH,419
S002,P0001,415,1590.8365879642479,3181.673175928495,227.26236970917822,1.8260832206012143,145.00547195622434,113.5742710234577,683.4045556430274,324.58207294462363,1007.986628587651,-2766.673175928495,HIGH,HIGH,593
S002,P0002,364,474.48300951279685,948.9660190255937,67.78328707325669,5.37005530001234,128.78659370725035,106.05093573707896,203.34986121977005,303.08125466329045,506.4311158830605,-584.9660190255937,HIGH,MEDIUM,143
S002,P0003,372,503.26374765041595,1006.5274953008319,71.89482109291656,5.174225268871993,133.00547195622434,111.33821100723073,215.68446327874966,318.1916731757742,533.8761364545239,-634.5274953008319,HIGH,MEDIUM,162
S002,P0004,133,594.2926743376971,1188.5853486753942,84.89895347681387,1.5665681914008829,138.4268125854993,108.64648488267214,254.69686043044166,310.499032602911,565.1958930333526,-1055.5853486753942,HIGH,HIGH,433
S002,P0005,464,1777.594991257255,3555.189982514509,253.94214160817924,1.827187866738283,132.5718194254446,104.43645888526372,761.8264248245378,298.4672673705605,1060.2936921950982,-3091.189982514509,HIGH,HIGH,597
S002,P0006,160,430.9436092177419,861.8872184354838,61.563372745391696,2.598947927393675,133.26675786593708,105.04498046477056,184.6901182361751,300.20635135435356,484.8964695905287,-701.8872184354838,HIGH,HIGH,325
S002,P0007,53,1101.697544326851,2203.3950886537023,157.38536347526446,0.3367530425300938,137.62106703146375,112.77169344850438,472.1560904257933,322.28839946884654,794.4444898946399,-2150.3950886537023,HIGH,HIGH,742
S002,P0008,218,963.773084044989,1927.5461680899787,137.68186914928418,1.5833602590303983,128.8987688098495,106.8498402822629,413.0456074478525,305.36443104667336,718.4100384945259,-1709.5461680899787,HIGH,HIGH,501
S002,P0009,62,962.5000442671173,1927.4673691267326,137.67624065190947,0.4503318779364136,144.1532147742818,112.42161860021477,412.5000189716218,321.2879262197588,733.7879451913806,-1865.4673691267326,HIGH,HIGH,672
S002,P0010,419,762.5713218134892,1525.142643626978,108.93876025906987,3.846197616014411,135.44733242134063,112.86893066737879,326.81628077720967,322.56629214458394,649.3825729217936,-1106.142643626978,HIGH,MEDIUM,231
S002,P0011,156,1156.89376765447,2313.78753530894,165.27053823635285,0.9439068914805911,135.62927496580028,108.68977175552503,495.81161470905846,310.6227414569962,806.4343561660546,-2157.78753530894,HIGH,HIGH,651
S002,P0012,193,1689.7396185935556,3379.479237187112,241.39137408479374,0.7995314693067894,140.25718194254446,111.77827643111473,724.174122254381,319.44932903592957,1043.6234512903106,-3186.479237187112,HIGH,HIGH,851
S002,P0013,472,679.3467501405396,1358.6935002810787,97.04953573436276,4.863495702771063,134.22161422708618,106.21054367142533,291.1486072030884,303.53739559839585,594.6860028014842,-886.6935002810787,HIGH,MEDIUM,123
S002,P0014,342,1054.0356592702415,2108.071318540483,150.57652275289163,2.271270406218969,134.406292749658,105.0137912081489,451.72956825867493,300.1172160821072,751.846784340782,-1766.071318540483,HIGH,HIGH,410
S002,P0015,433,432.6409315603437,865.2818631206874,61.805847365763384,7.005809619234429,130.78796169630644,104.00118633453319,185.41754209729015,297.22330898510165,482.6408510823918,-432.2818631206874,HIGH,LOW,50
S002,P0016,258,1415.0617721752758,2830.123544350551,202.15168173932508,1.2762693724838332,138.24760601915185,108.40938507185744,606.4550452179753,309.8214288868975,916.2764741048728,-2572.123544350551,HIGH,HIGH,659
S002,P0017,236,432.5663463862454,865.1326927724907,61.79519234089219,3.8190673264371404,132.31053351573186,106.46327110498018,185.38557702267664,304.2596612447786,489.6452382674553,-629.1326927724907,HIGH,MEDIUM,254
S002,P0018,151,792.2180200356393,1584.4360400712783,113.17400286223416,1.3342286760309356,140.19425444596442,111.48600511636609,339.52200858670255,318.61405157080924,658.1360601575118,-1433.4360400712783,HIGH,HIGH,508
S002,P0019,409,572.2775130305536,1144.5550260611067,81.75393043293619,5.002817575058462,131.82626538987688,107.4316025524728,245.26179129880865,307.0270400330581,552.2888313318667,-735.5550260611067,HIGH,MEDIUM,144
S002,P0020,284,686.1151614705587,1372.2303229411175,98.01645163865125,2.8974727737237234,144.10807113543092,113.53653966400911,294.0493549159538,324.47424110247766,618.5235960184315,-1088.2303229411175,HIGH,HIGH,335
S003,P0001,138,643.8458204927867,1287.691640985573,91.97797435611236,1.5003591997547538,129.4391244870041,106.35729419659694,275.93392306833715,303.956791551693,579.8907146200302,-1149.691640985573,HIGH,HIGH,442
S003,P0002,388,711.2546263947439,1422.5092527894878,101.6078037706777,3.818604335506465,142.74965800273597,111.97201942201693,304.8234113120331,320.00302399728696,624.82643530932,-1034.5092527894878,HIGH,MEDIUM,237
S003,P0003,112,1049.7564365944365,2099.5128731888726,149.9652052277766,0.7468399074964579,126.6155950752394,102.90707992614607,449.8956156833299,294.0964799695499,743.9920956528797,-1987.5128731888726,HIGH,HIGH,632
S003,P0004,415,597.4022972663945,1194.8045945327892,85.34318532377065,4.8627198343440545,132.2298221614227,104.88645778759336,256.02955597131194,299.753311958166,555.782867929478,-779.8045945327892,HIGH,MEDIUM,141
S003,P0005,411,1067.707499550727,2137.882279693952,152.70587712099658,2.6914484743396216,144.1969904240766,109.33996019314995,457.5889283788831,312.4809044809555,770.0698328598386,-1726.8822796939521,HIGH,HIGH,360
S003,P0006,451,615.4957027216705,1230.991405443341,87.9279575316672,5.129199092763785,139.7715458276334,114.09931295432166,263.78387259500164,326.08258179021834,589.86645438522,-779.9914054433409,HIGH,MEDIUM,139
S003,P0007,108,424.697900460136,849.3958009202719,60.671128637162276,1.780088856528175,138.8016415868673,110.78787727331068,182.0133859114869,316.61888329513107,498.63226920661793,-741.3958009202719,HIGH,HIGH,391
